+------------+-------------------+-------------------+-------------------+--------------------+-------------------+-------------------+----------+
|   Topic    |       crisis      |   privatización   |   contaminación   |      política      |      economía     |     tecnología    | Televisa |
| Article 65 |        0.0        |        0.0        |        0.0        |       100.0        |        0.0        |        0.0        |   0.0    |
| Article 66 |        0.0        |        0.0        | 66.66666666666666 |        0.0         |        0.0        | 33.33333333333333 |   0.0    |
| Article 67 |        0.0        |        0.0        |       100.0       |        0.0         |        0.0        |        0.0        |   0.0    |
| Article 68 |         0         |         0         |         0         |         0          |         0         |         0         |    0     |
| Article 69 |         0         |         0         |         0         |         0          |         0         |         0         |    0     |
| Article 70 |         0         |         0         |         0         |         0          |         0         |         0         |    0     |
| Article 71 |         0         |         0         |         0         |         0          |         0         |         0         |    0     |
| Article 72 |         0         |         0         |         0         |         0          |         0         |         0         |    0     |
| Article 73 |         0         |         0         |         0         |         0          |         0         |         0         |    0     |
| Article 74 |         0         |         0         |         0         |         0          |         0         |         0         |    0     |
| Article 75 |         0         |         0         |         0         |         0          |         0         |         0         |    0     |
+------------+-------------------+-------------------+-------------------+--------------------+-------------------+-------------------+----------+
